"fc";"pval.fc.fdr"
"GCLC";3.18988478638398;5.13430839308917e-06
"ENPP4";-2.12084066019021;5.58792619608057e-20
"PRSS22";1.88142480431196;0.000548558401442421
"ALDH3B1";-2.96558603077369;3.9677382058988e-17
"DBF4";1.96456896195475;4.6224287008925e-16
"E2F2";2.98697252514669;1.91389896733522e-15
"JARID2";1.3221354801702;3.76308540628415e-13
"NCAPD2";2.31751283127969;3.55361469368265e-14
"BRCA1";2.22392769735865;2.47208710796271e-14
"SNAI2";2.10435880584824;2.84487846580352e-11
"HGF";-2.04153744099506;1.14638726496684e-12
"NSUN2";1.35382395601;9.8027184374544e-14
"CDH1";1.246646488187;9.85717126733217e-12
"GPM6B";-1.20295036462118;1.53494934349698e-06
"ATP11B";1.69671141863345;4.63893769041816e-10
"LAMC2";2.45113256711228;0.000536060841244216
"POLD1";1.28117006321442;7.96454976062357e-08
"ASPM";4.42092218077016;5.12628320873689e-13
"KLF6";-1.60570889656517;3.32550995262643e-12
"PHKA1";1.45898917814186;4.14604860781265e-11
"SYT1";2.26091932272508;0.00360891895040627
"FGFR3";1.66571100806575;2.12678060028288e-05
"ACSL4";-1.38754038710701;5.04558472716453e-11
"TGFBR3";-1.71024952618174;7.45678079507375e-09
"MAPK6";1.57455670313764;1.54545759105992e-11
"HDHD5";1.23506479300742;1.28646992440292e-11
"ASNS";1.52881565233437;0.00061183889763882
"NDE1";1.82906607447531;3.06913707658692e-14
"EDN1";-2.24858403442885;1.75839819913241e-09
"PAFAH1B3";2.46709916648338;1.39053765606255e-07
"KIF22";1.90705625446667;2.90197357398946e-16
"CPOX";1.47534462915876;2.51814119283512e-13
"CXCL2";-3.30656196013722;2.26333624530175e-06
"MEF2C";-1.78652287619333;8.56070859834514e-18
"XPO1";1.21123725482556;3.52550888837956e-14
"PLOD1";1.29652082923993;3.33650359116326e-08
"OXCT1";1.26977676081539;1.94257991489588e-07
"ABCB1";-1.96735160320963;5.51987598327746e-06
"L2HGDH";1.33697076672213;2.74112368008245e-12
"DNMT3B";3.0870192747122;0.00780276466001296
"ICAM1";-2.23181476646269;9.79834874326144e-07
"KIF4A";4.36841975889171;1.66906671884139e-19
"PUS7";1.8810362565124;8.1942804060636e-13
"ITGA6";2.04703177303766;5.31323227097886e-08
"RAPGEF4";-1.24582704624999;1.97790689239604e-05
"DPYSL2";-2.42726574960396;1.05261521113984e-21
"MSH2";1.49024084443646;3.67927819997788e-10
"SRPK1";1.47126162684181;9.77554844546049e-13
"DSP";4.25810252798173;2.00719041000048e-11
"CDC7";1.66699205281513;1.25473948697551e-11
"NRP1";-1.28904950574678;1.93027768092836e-13
"TIMP3";-1.81845862220555;4.75404738550406e-14
"PDGFB";-1.45496399299155;7.72690491332288e-10
"NFKBIA";-1.34636016193463;3.19190915761184e-08
"MMP9";2.90075037985037;0.00069962363150076
"GINS1";4.06046070908439;9.62577982043579e-15
"RAE1";1.44211088131785;1.02238576825121e-15
"RASSF2";-1.60712959795295;4.33089907877121e-10
"JAG1";2.43461635193939;1.02256260252724e-09
"E2F1";1.95501085347888;4.65192369399019e-09
"SMAD7";-1.33980411134108;4.26694523035758e-16
"CAB39L";-1.66089874192593;1.59045437342264e-13
"KLF5";1.41839952415099;5.42597874472568e-08
"ABCC1";2.00379622541808;2.45534614549521e-06
"USP31";1.60622884125748;1.13107262694454e-08
"RHOV";4.46605927696522;9.24038221412349e-09
"TUSC3";1.36131502092298;0.00225105626645033
"ASF1B";3.3543003310443;9.29620901305044e-14
"CCNE1";4.33989745039748;2.4733476659279e-05
"CDK6";1.24779773661318;8.73347755619965e-09
"ITGB8";2.51798437411599;7.4662142000035e-09
"HOXA5";-1.77113548065719;2.65126048334174e-10
"EZH2";3.04508527922365;5.71075088303666e-14
"BLMH";1.22339312335643;2.00087486690875e-06
"CCL2";-1.66145134943278;0.00486650165476255
"KAT2A";1.43786839737749;6.81875439916824e-13
"GALNT7";1.26346903530842;8.77181460168912e-10
"NSD2";1.42738337519946;2.46079902173737e-10
"RAPGEF2";-1.5191136043691;1.99303322425471e-14
"NCAPG";3.8540064230133;1.84493970768187e-16
"UGDH";1.5417042417611;2.71114257651292e-05
"LTA4H";-1.52949529549077;3.52715868259291e-17
"FOXM1";4.59182944470952;3.43522416909963e-16
"GAPDH";2.49819782710284;1.60982468540889e-13
"BTN3A3";-1.41339841076847;9.5002910933698e-17
"FBXO5";1.55558044491707;1.15325291962269e-10
"MCM3";1.43683737425051;3.00965907737812e-11
"E2F3";1.84507803402723;0.0272139181496576
