"name";"degree";"closeness";"is_degree";"is_closeness"
"2";"FGR";265;0.000168435236651508;1;0
"11";"ITGAL";259;0.00016803898504453;1;0
"26";"BTK";334;0.000170125893160939;1;1
"27";"TYROBP";269;0.000167028561884082;1;0
"30";"ALOX5";250;0.000168776371308017;1;0
"54";"MSR1";260;0.000169721656483367;1;0
"98";"TIE1";140;0.000177116542685087;0;1
"101";"SPI1";302;0.000168690958164642;1;0
"106";"RASGRP2";301;0.000171614896172988;1;1
"108";"ADGRF5";200;0.000178731009830206;0;1
"159";"TNS1";231;0.000179856115107914;0;1
"172";"FCN1";216;0.000179147259046937;0;1
"178";"LAT2";304;0.000168833361472227;1;0
"184";"CASS4";305;0.000171291538198013;1;1
"189";"SIGLEC1";252;0.000166306336271412;1;0
"199";"NLRC4";322;0.000171880371261602;1;1
"212";"SH2D3C";295;0.000170852554245686;1;1
"219";"GADD45B";259;0.000168690958164642;1;0
"247";"SAMHD1";223;0.00017636684303351;0;1
"268";"AQP9";163;0.000176242509693338;0;1
"314";"SLC1A1";101;0.000170502983802217;0;1
"318";"ENG";275;0.000184094256259205;1;1
"320";"DOCK8";252;0.000168152009416513;1;0
"353";"MS4A4A";253;0.000179565451607111;1;1
"359";"CD69";263;0.000170039108995069;1;1
"360";"SELPLG";306;0.000170765027322404;1;1
"361";"BIN2";287;0.00016923337282112;1;0
"366";"TNS2";183;0.000175530981218185;0;1
"398";"LY86";312;0.000169204737732657;1;0
"405";"PCDH12";168;0.000178922884236894;0;1
"478";"CNRIP1";115;0.000173370319001387;0;1
"484";"MYCT1";128;0.000174794616325817;0;1
"499";"CCRL2";299;0.000185839063371121;1;1
"506";"GLIPR2";250;0.0001669727834363;1;0
"515";"ADGRE5";292;0.000183924958616884;1;1
"518";"NCKAP1L";259;0.000169836956521739;1;0
"519";"MMP19";173;0.000176928520877565;0;1
"542";"CD93";155;0.000177683013503909;0;1
"547";"S1PR4";318;0.000171174255391989;1;1
"551";"RHOJ";49;0.000169981302056774;0;1
"573";"WDFY4";276;0.000167532249958117;1;0
"583";"STARD8";305;0.000186846038863976;1;1
"588";"USHBP1";271;0.000169204737732657;1;0
"594";"GMFG";311;0.000170794192997438;1;1
"595";"THEMIS2";213;0.000177967609894999;0;1
"599";"SYNE1";252;0.000183924958616884;1;1
"611";"AOC3";307;0.000186741363211951;1;1
"642";"PRAM1";285;0.000170765027322404;1;1
"646";"GIMAP6";264;0.00016803898504453;1;0
"683";"DRAM1";133;0.000171791788352517;0;1
"691";"TM6SF1";264;0.000166917042230012;1;0
"707";"LRRC32";112;0.00017531556802244;0;1
"753";"ACVRL1";340;0.000189286390308537;1;1
"756";"GPR65";257;0.000167420056922819;1;0
