"name";"degree";"closeness";"is_degree";"is_closeness"
"2";"FGR";202;0.000173520735727919;1;1
"32";"IFFO1";209;0.000176460208223046;1;1
"35";"BTK";366;0.000187265917602996;1;1
"40";"TYROBP";259;0.000178380306814128;1;1
"63";"HSD17B6";197;0.000171850833476542;1;0
"145";"SPI1";241;0.000174733531364669;1;1
"158";"RASGRP2";322;0.000183150183150183;1;1
"160";"ADGRF5";212;0.000177242112725984;1;1
"162";"KCNAB2";208;0.000174003828084218;1;1
"221";"ITGA8";216;0.00017343045438779;1;0
"231";"TNS1";212;0.000177210703526493;1;1
"245";"PTPRC";178;0.000174034110685694;0;1
"263";"LAT2";233;0.00018001800180018;1;1
"271";"CASS4";270;0.000178316690442225;1;1
"290";"NLRC4";297;0.000178986933953821;1;1
"310";"SH2D3C";241;0.00017822135091784;1;1
"323";"GADD45B";278;0.000182049881667577;1;1
"326";"SUSD2";238;0.000178954903364352;1;1
"346";"NCF4";274;0.000179307871615564;1;1
"429";"FCGRT";196;0.000173340266944011;1;0
"463";"TFEC";289;0.00018037518037518;1;1
"484";"ENG";217;0.000176460208223046;1;1
"486";"DOCK8";181;0.000174581005586592;0;1
"530";"MS4A4A";264;0.000178794922224209;1;1
"541";"CD69";218;0.000173460537727667;1;0
"542";"SELPLG";212;0.000175561797752809;1;1
"544";"BIN2";246;0.000180310133429499;1;1
"564";"ADGRD1";226;0.000174216027874564;1;1
"594";"CLIC5";187;0.000176865935620799;0;1
"595";"LY86";361;0.000186219739292365;1;1
"608";"PCDH12";211;0.000178794922224209;1;1
"637";"DNAH1";219;0.000171174255391989;1;0
"651";"ST3GAL5";308;0.000183654729109275;1;1
"723";"TEK";232;0.000180277627546421;1;1
"735";"PDLIM2";161;0.000175469380593087;0;1
"748";"CCRL2";240;0.00017825311942959;1;1
"754";"SASH3";308;0.000182381907714755;1;1
"757";"RAMP3";205;0.000174064403829417;1;1
"758";"GLIPR2";203;0.000172176308539945;1;0
"767";"ADGRE5";235;0.000180766449746927;1;1
"771";"NCKAP1L";226;0.000175407823188914;1;1
"772";"MMP19";178;0.000176803394625177;0;1
"807";"CD93";177;0.000174641983932937;0;1
"813";"S1PR4";228;0.000175131348511384;1;1
"821";"EVI2A";204;0.000173160173160173;1;0
"852";"WDFY4";282;0.00018037518037518;1;1
"870";"STARD8";228;0.000178922884236894;1;1
"876";"USHBP1";267;0.000178922884236894;1;1
"884";"GMFG";350;0.000190114068441065;1;1
"892";"SYNE1";222;0.000179468772433597;1;1
"897";"HIGD1B";260;0.000178380306814128;1;1
"906";"AOC3";267;0.000179888469149128;1;1
"945";"PRAM1";202;0.00017120356103407;1;0
"951";"GIMAP6";220;0.000175963399612881;1;1
"961";"PTPN22";220;0.000175932441942294;1;1
"973";"DOCK2";185;0.000174581005586592;0;1
"997";"STX11";164;0.000173822353554667;0;1
"1005";"CYP27A1";196;0.000166611129623459;1;0
"1009";"DRAM1";207;0.000175223409847556;1;1
"1050";"SLCO2B1";205;0.000175746924428823;1;1
"1051";"LRRC32";184;0.000178667143112382;0;1
"1067";"PLCB2";224;0.000175377060680463;1;1
"1103";"PARVG";310;0.000179888469149128;1;1
"1115";"ACVRL1";258;0.000181323662737987;1;1
"1126";"GPR65";310;0.000184263865855906;1;1
"1138";"IRF8";355;0.000185116623472788;1;1
"1139";"LRRC46";203;0.000168861870989531;1;0
"1144";"ZMYND15";221;0.000174428745857317;1;1
"1145";"ASGR1";295;0.000176709666018731;1;1
"1161";"FHAD1";200;0.000172830971310059;1;0
"1171";"C1orf162";256;0.000178507675830061;1;1
"1172";"CD53";221;0.000177273533061514;1;1
"1237";"FGD2";270;0.000180603214737222;1;1
"1244";"ARHGAP18";223;0.000175777816839515;1;1
"1260";"DOK2";254;0.000177430801987225;1;1
"1287";"ESAM";228;0.000177588350204227;1;1
"1292";"FERMT3";200;0.0001776514478593;1;1
"1353";"ROBO4";281;0.000181950509461427;1;1
"1383";"VSIG4";224;0.000172176308539945;1;0
"1451";"ACE";196;0.000173580975525082;1;1
"1453";"PTGIR";188;0.000173913043478261;0;1
"1458";"GAB3";230;0.000175530981218185;1;1
"1461";"JAML";250;0.000175039383861369;1;1
"1518";"TNFAIP8L2";229;0.00017286084701815;1;0
