"name";"degree";"closeness";"is_degree";"is_closeness"
"4";"ALDH3B1";37;0.00124843945068664;1;0
"20";"PHKA1";35;0.00122699386503067;1;0
"33";"MEF2C";29;0.00114942528735632;1;0
"38";"L2HGDH";26;0.00131578947368421;0;1
"49";"CDC7";27;0.00128369704749679;1;0
"62";"KLF5";57;0.00149700598802395;1;1
"74";"CCL2";27;0.00126262626262626;1;0
"132";"PSMC3IP";45;0.00132450331125828;1;1
"140";"PSAT1";16;0.00131752305665349;0;1
"142";"DRAM1";44;0.00129198966408269;1;0
"145";"TLR4";27;0.00111358574610245;1;0
"148";"THBS1";27;0.00121065375302663;1;0
"169";"OSR1";29;0.00138504155124654;1;1
"179";"DOK2";57;0.00130548302872063;1;1
"184";"ADAM12";18;0.00130890052356021;0;1
"200";"ANKRD29";27;0.00134408602150538;1;1
"207";"COLEC12";28;0.00116822429906542;1;0
"231";"NEMP1";34;0.00129533678756477;1;0
"234";"ZNF597";24;0.00131926121372032;0;1
"237";"COL3A1";33;0.00138504155124654;1;1
"243";"SHCBP1";13;0.00133689839572193;0;1
"244";"LRRC8D";16;0.00134952766531714;0;1
"265";"TMEM45A";23;0.00131578947368421;0;1
"279";"FAM83G";25;0.00133689839572193;0;1
"284";"SOWAHC";42;0.00141442715700141;1;1
