"name";"degree";"closeness";"is_degree";"is_closeness"
"28";"IFFO1";38;0.00012640626975098;0;1
"30";"CD4";64;0.000137684152554041;1;1
"37";"BRCA1";20;0.000132170235263019;0;1
"80";"EPN3";56;9.81546917942678e-05;1;0
"87";"RAD51";61;0.000130446125750065;1;1
"88";"POLQ";67;0.000128369704749679;1;1
"115";"MCM10";42;0.000128832775057975;0;1
"116";"DGKA";64;0.000126774847870183;1;1
"126";"TIE1";15;0.000125817815802718;0;1
"128";"ASPM";55;0.000123685837971552;1;0
"142";"RASGRP2";57;0.000116890707188778;1;0
"160";"VASH1";30;0.000128024580719498;0;1
"162";"TRIP13";69;0.000105141415203449;1;0
"169";"HMMR";72;0.000128749839062701;1;1
"171";"MCM2";25;0.000126566257435768;0;1
"183";"GTSE1";92;0.000134807225667296;1;1
"189";"ARHGAP15";59;0.000121684108055488;1;0
"190";"MCM6";15;0.000126566257435768;0;1
"197";"UBE2T";37;0.00012708095056551;0;1
"209";"TP73";74;0.00010612331529237;1;0
"219";"NDC80";55;0.00012868356710848;1;1
"225";"PTPRC";66;0.000124115675809855;1;0
"229";"PLOD1";28;0.00013290802764487;0;1
"238";"ORC1";35;0.000125801987671405;0;1
"245";"CETP";72;0.000124300807955252;1;0
"248";"AURKA";18;0.000125565042692115;0;1
"251";"TPX2";74;0.000131371518654756;1;1
"253";"SLC4A11";64;9.98601957259836e-05;1;0
"259";"ICAM1";71;0.000127469725940089;1;1
"267";"ITGA6";68;0.00012013455069678;1;0
"269";"ORC6";80;0.000128849375080531;1;1
"278";"CDC45";62;0.000130412102243088;1;1
"280";"CDC6";33;0.000133850890108419;0;1
"317";"SIX4";71;0.000104843782763682;1;0
"322";"GINS1";72;0.000133779264214047;1;1
"323";"MYBL2";58;0.000124501992031873;1;0
"353";"SCML2";17;0.000126374320738026;0;1
"370";"CEMIP";64;0.0001230012300123;1;0
"394";"GPI";28;0.000125944584382872;0;1
"399";"CARD8";32;0.000130480167014614;0;1
"406";"PIK3CG";66;0.000125391849529781;1;1
"431";"DOCK8";27;0.00012569130216189;0;1
"437";"TWNK";60;0.000120875135984528;1;0
"445";"CBX1";42;0.000127713920817369;0;1
"447";"PSMD11";79;0.000127404764938209;1;1
"448";"CCL2";80;0.000128435653737478;1;1
"465";"NCAPG";54;0.000124069478908189;1;0
"498";"TIMELESS";29;0.000131700250230475;0;1
"500";"CDCA3";61;0.000124347177319075;1;0
"522";"BYSL";73;0.000123578843302027;1;0
"523";"TTK";68;0.000132749236691889;1;1
"532";"LMNB1";35;0.000125297581756672;0;1
"541";"STC2";61;0.000115500115500115;1;0
"564";"EIF4G1";23;0.000128336755646817;0;1
"575";"IL1R1";41;0.000126935770500127;0;1
"615";"MAN1C1";21;0.000125344697919278;0;1
"630";"NPC2";44;0.000126951885235496;0;1
"649";"NCAPH";89;0.000135171668018383;1;1
"665";"SASH3";109;0.00012640626975098;1;1
"667";"WIPF3";60;9.86193293885602e-05;1;0
"674";"ZWINT";75;0.000137061403508772;1;1
"700";"XPO5";25;0.000131319763624425;0;1
"723";"EVI2A";55;0.000124455507156192;1;0
"750";"WDFY4";78;0.000125533517449159;1;1
"759";"SIGLEC9";23;0.000125407574617507;0;1
"774";"GMFG";56;0.000120816721034191;1;0
"797";"TRAF7";30;0.000131337010769635;0;1
"799";"TOP2A";36;0.000125722906713603;0;1
"828";"EPHB2";45;0.000128849375080531;0;1
"841";"CCNB1";47;0.000125849484017116;0;1
"849";"NAV1";62;0.000122055413157574;1;0
"850";"KCTD1";60;0.000104515050167224;1;0
"852";"DOCK2";41;0.000129802699896158;0;1
"854";"CDCA8";77;0.000124084874053853;1;0
"855";"FHOD3";58;0.000101399310484689;1;0
"870";"TROAP";44;0.000128749839062701;0;1
"922";"SLCO2B1";57;0.000137230684781117;1;1
"923";"LRRC32";59;0.000123167877817465;1;0
"930";"TRIM29";70;0.000109829763866008;1;0
"936";"KNL1";82;0.000132925694536754;1;1
"947";"KIF11";60;0.000130259215839521;1;1
"968";"CENPE";50;0.000126358352287086;0;1
