"name";"degree";"closeness";"is_degree";"is_closeness"
"12";"GPM6B";11;0.00139082058414465;0;1
"35";"KIF4A";44;0.0014367816091954;1;1
"47";"GINS1";37;0.00131061598951507;1;0
"54";"KLF5";35;0.00147492625368732;1;1
"57";"ASF1B";36;0.0013262599469496;1;0
"68";"NCAPG";38;0.00136986301369863;1;0
"70";"FOXM1";42;0.00141643059490085;1;1
"90";"CDC20";42;0.00137741046831956;1;1
"101";"UBL3";38;0.0014903129657228;1;1
"104";"RASSF8";18;0.00137931034482759;0;1
"133";"CEP55";35;0.0013262599469496;1;0
"160";"CHEK1";35;0.00137551581843191;1;1
"173";"BUB1B";37;0.00132450331125828;1;0
"174";"CCNB2";39;0.00141843971631206;1;1
"204";"SHCBP1";43;0.00139275766016713;1;1
"209";"RRM2";39;0.0013986013986014;1;1
"227";"IRAK1";20;0.00140056022408964;0;1
"249";"UHRF1";46;0.00142247510668563;1;1
