"";"x"
"1";"PTEN"
"2";"PRPF8"
"3";"DNMT1"
"4";"NOTCH2"
"5";"AGO1"
"6";"BCL2"
"7";"MYC"
"8";"ARCN1"
"9";"FASN"
"10";"EIF4G2"
"11";"VEGFA"
"12";"CPEB4"
"13";"ZEB1"
"14";"EZH2"
"15";"C1orf21"
"16";"KAT2B"
"17";"SMAD3"
"18";"SIRT1"
"19";"DICER1"
"20";"SOCS1"
"21";"CCNT2"
"22";"EDC3"
"23";"TGFBR3"
"24";"FLNA"
"25";"GSK3B"
"26";"PTGS2"
"27";"RAP2C"
"28";"QKI"
"29";"HSPA1B"
"30";"GGA3"
"31";"PRDM1"
"32";"ABHD17C"
"33";"EEF1A1"
"34";"NAP1L1"
"35";"TMTC3"
"36";"FGF2"
"37";"BACE1"
"38";"TRAP1"
"39";"ACER2"
"40";"GANAB"
"41";"BAZ1B"
"42";"RRM2"
"43";"MYB"
"44";"NUFIP2"
"45";"TUT1"
"46";"HUWE1"
"47";"JAK1"
"48";"CDC42"
"49";"KRAS"
"50";"N4BP2"
"51";"PLAG1"
"52";"ZBTB5"
"53";"BMPR2"
"54";"KLHL42"
"55";"AKT1"
"56";"RHOV"
"57";"DCBLD2"
"58";"PMAIP1"
"59";"ABCC1"
"60";"BRCA1"
"61";"CDV3"
"62";"CXCL8"
"63";"SOCS6"
"64";"PRKAA1"
"65";"SHCBP1"
"66";"UBE3C"
"67";"HMGA2"
"68";"CCNA2"
"69";"BMT2"
"70";"TCF4"
"71";"SLC38A2"
"72";"CREG1"
"73";"FOXO1"
"74";"RASSF5"
"75";"SLC9A6"
"76";"MBD2"
"77";"CDC25A"
"78";"CHUK"
"79";"KLF11"
"80";"SNX6"
"81";"STXBP3"
"82";"SMAD2"
"83";"TMED5"
"84";"ANKRD17"
"85";"ARID3A"
"86";"XPO1"
"87";"NHLRC3"
"88";"RAP1B"
"89";"CADM1"
"90";"LRRC8D"
"91";"MIB1"
"92";"RPSA"
"93";"SYNE2"
"94";"UBE2Q2"
"95";"DUSP1"
"96";"WNK1"
"97";"ITGA6"
"98";"SHC1"
"99";"NAA30"
"100";"SLC10A7"
"101";"PHACTR2"
"102";"USP3"
"103";"CUL5"
"104";"NFKB1"
"105";"AFF4"
"106";"CASP3"
"107";"RAB40C"
"108";"ZNF200"
"109";"LBR"
"110";"ONECUT2"
"111";"CD2AP"
"112";"ATP2A2"
"113";"NCOA3"
"114";"EIF3C"
"115";"PBRM1"
"116";"CCNE2"
"117";"HNRNPM"
"118";"NF1"
"119";"LDLR"
"120";"IRAK1"
"121";"ALG3"
"122";"ELMO2"
"123";"MSH2"
"124";"SMURF1"
"125";"TAF9B"
"126";"RNMT"
"127";"WASL"
"128";"CDC7"
"129";"COL3A1"
"130";"IMPDH1"
"131";"RLF"
"132";"TGFB1"
"133";"TP53INP1"
"134";"RNF44"
"135";"STRADB"
"136";"SMAD1"
"137";"COIL"
"138";"ARMC8"
"139";"FANCI"
"140";"MCM3AP-AS1"
"141";"TFB1M"
"142";"RCOR1"
"143";"CDC37L1"
"144";"CSNK1G1"
"145";"NAPG"
"146";"SSX2IP"
"147";"ITGB1"
"148";"STX16"
"149";"ATG12"
"150";"CALU"
"151";"CTDSPL"
"152";"GNB1"
"153";"RNF138"
"154";"CUL2"
"155";"OTUD4"
"156";"EP300"
"157";"NUCB2"
"158";"PGRMC1"
"159";"ZEB2"
"160";"ECHDC1"
"161";"SPTBN1"
"162";"UBAP2L"
"163";"FRS2"
"164";"CNOT6"
"165";"AGL"
"166";"MCL1"
"167";"NME4"
"168";"RP2"
"169";"NIN"
"170";"CCND2"
"171";"MLLT10"
"172";"HSP90AA1"
"173";"RTN4"
"174";"NOLC1"
"175";"DUSP5"
"176";"MTOR"
"177";"TCP1"
"178";"ITPR1"
"179";"KLF4"
"180";"MTUS1"
"181";"NCAPD2"
"182";"VCL"
"183";"PRKAR1A"
"184";"DDX3X"
"185";"HSPA8"
"186";"USP48"
"187";"FBXO11"
"188";"MALAT1"
"189";"PDHX"
"190";"TIAM1"
"191";"TLE4"
"192";"TRRAP"
"193";"UBR5"
"194";"FOXO3"
"195";"GOLGA4"
"196";"GPAM"
"197";"MXD1"
"198";"SOCS3"
"199";"DYRK3"
"200";"EDEM3"
"201";"RAN"
"202";"COLEC12"
"203";"CTC1"
"204";"IGF1R"
"205";"RARB"
"206";"SMAD7"
"207";"SRPRA"
"208";"SLC39A14"
"209";"CNOT4"
"210";"RB1"
"211";"CCDC88C"
"212";"RASGRP3"
"213";"BCL2L11"
"214";"ASNS"
"215";"AURKAIP1"
"216";"BTF3"
"217";"C2orf42"
"218";"CKAP5"
"219";"COL5A2"
"220";"COPS3"
"221";"DHX9"
"222";"FAM104A"
"223";"NABP2"
"224";"NOL4L"
"225";"RECK"
"226";"SLC35C1"
"227";"SUN1"
"228";"TBC1D9"
"229";"ZFPM2"
"230";"TSC22D2"
"231";"KIF27"
"232";"BTBD7"
"233";"NFIA"
"234";"RRM1"
"235";"MORF4L1"
"236";"BRWD1"
"237";"IPO5"
"238";"KMT5B"
"239";"PIK3R1"
